season,week,game_type,quarter,quarter_type,home_team,home_full_name,home_division,home_conference,away_team,away_full_name,away_division,away_conference,home_team_score,away_team_score
2018,2,Regular season,3,Regulation,GB,Green Bay Packers,North,NFC,MIN,Minnesota Vikings,North,NFC,20,7
2018,2,Regular season,4,Regulation,GB,Green Bay Packers,North,NFC,MIN,Minnesota Vikings,North,NFC,29,29
2018,2,Regular season,5,Overtime,GB,Green Bay Packers,North,NFC,MIN,Minnesota Vikings,North,NFC,29,29
2018,2,Regular season,1,Regulation,JAX,Jacksonville Jaguars,South,AFC,NE,New England Patriots,East,AFC,14,0
2018,2,Regular season,2,Regulation,JAX,Jacksonville Jaguars,South,AFC,NE,New England Patriots,East,AFC,21,3
2018,2,Regular season,3,Regulation,JAX,Jacksonville Jaguars,South,AFC,NE,New England Patriots,East,AFC,24,10
2018,2,Regular season,4,Regulation,JAX,Jacksonville Jaguars,South,AFC,NE,New England Patriots,East,AFC,31,20
2018,2,Regular season,1,Regulation,DAL,Dallas Cowboys,East,NFC,NYG,New York Giants,East,NFC,10,0
2018,2,Regular season,2,Regulation,DAL,Dallas Cowboys,East,NFC,NYG,New York Giants,East,NFC,10,0
2018,2,Regular season,3,Regulation,DAL,Dallas Cowboys,East,NFC,NYG,New York Giants,East,NFC,13,3
2018,2,Regular season,4,Regulation,DAL,Dallas Cowboys,East,NFC,NYG,New York Giants,East,NFC,20,13
2018,2,Regular season,1,Regulation,DEN,Denver Broncos,West,AFC,LV,Las Vegas Raiders,West,AFC,0,3
2018,2,Regular season,2,Regulation,DEN,Denver Broncos,West,AFC,LV,Las Vegas Raiders,West,AFC,0,12
2018,2,Regular season,3,Regulation,DEN,Denver Broncos,West,AFC,LV,Las Vegas Raiders,West,AFC,10,19
2018,2,Regular season,4,Regulation,DEN,Denver Broncos,West,AFC,LV,Las Vegas Raiders,West,AFC,20,19
2018,2,Regular season,1,Regulation,TB,Tampa Bay Buccaneers,South,NFC,PHI,Philadelphia Eagles,East,NFC,7,0
2018,2,Regular season,2,Regulation,TB,Tampa Bay Buccaneers,South,NFC,PHI,Philadelphia Eagles,East,NFC,20,7
2018,2,Regular season,3,Regulation,TB,Tampa Bay Buccaneers,South,NFC,PHI,Philadelphia Eagles,East,NFC,27,14
2018,2,Regular season,4,Regulation,TB,Tampa Bay Buccaneers,South,NFC,PHI,Philadelphia Eagles,East,NFC,27,21
2018,2,Regular season,1,Regulation,CHI,Chicago Bears,North,NFC,SEA,Seattle Seahawks,West,NFC,7,0
2018,2,Regular season,2,Regulation,CHI,Chicago Bears,North,NFC,SEA,Seattle Seahawks,West,NFC,10,3
2018,2,Regular season,3,Regulation,CHI,Chicago Bears,North,NFC,SEA,Seattle Seahawks,West,NFC,10,3
2018,2,Regular season,4,Regulation,CHI,Chicago Bears,North,NFC,SEA,Seattle Seahawks,West,NFC,24,17
